CustomerID,Recency,Frequency,Monetary,LastPurchaseDate,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST10073,6,22,25019.24,2025-07-23,1,2,4,124,Cannot Lose Them
CUST10074,72,18,15022.48,2025-05-18,4,1,1,411,Needs Attention
CUST10075,29,16,14250.63,2025-06-30,3,1,1,311,Needs Attention
CUST10076,15,27,34412.15,2025-07-14,2,4,5,245,At Risk
CUST10077,144,13,15500.23,2025-03-07,5,1,1,511,Needs Attention
CUST10078,170,21,19157.39,2025-02-09,5,2,2,522,Needs Attention
CUST10079,182,25,27773.87,2025-01-28,5,4,4,544,Champions
CUST10080,161,14,15268.83,2025-02-18,5,1,1,511,Needs Attention
CUST10081,18,28,25631.41,2025-07-11,2,5,4,254,At Risk
CUST10082,36,31,31861.25,2025-06-23,3,5,5,355,Needs Attention
CUST10083,76,24,24797.15,2025-05-14,4,3,4,434,Loyal Customers
CUST10084,17,20,20105.38,2025-07-12,2,2,2,222,Lost Customers
CUST10085,38,24,22091.69,2025-06-21,3,3,3,333,Needs Attention
CUST10086,10,23,21872.11,2025-07-19,2,3,3,233,Needs Attention
CUST10087,0,18,15909.34,2025-07-29,1,1,1,111,Lost Customers
CUST10088,1,22,24331.62,2025-07-28,1,2,3,123,Needs Attention
CUST10089,125,23,17913.55,2025-03-26,5,3,1,531,Loyal Customers
CUST10090,25,26,25428.010000000002,2025-07-04,3,4,4,344,Needs Attention
CUST10091,100,16,14476.47,2025-04-20,5,1,1,511,Needs Attention
CUST10092,91,22,17625.85,2025-04-29,5,2,1,521,Needs Attention
CUST10093,75,26,23731.27,2025-05-15,4,4,3,443,Loyal Customers
CUST10094,7,20,18993.77,2025-07-22,1,2,2,122,Lost Customers
CUST10095,2,26,31143.28,2025-07-27,1,4,5,145,At Risk
CUST10096,20,28,24580.510000000002,2025-07-09,2,5,4,254,At Risk
CUST10097,243,19,20866.06,2024-11-28,5,1,2,512,Needs Attention
CUST10098,19,29,25677.14,2025-07-10,2,5,4,254,At Risk
CUST10099,84,20,19215.59,2025-05-06,5,2,2,522,Needs Attention
CUST10100,10,26,22368.02,2025-07-19,2,4,3,243,At Risk
CUST10101,42,30,31308.12,2025-06-17,4,5,5,455,Champions
CUST10102,21,25,28145.06,2025-07-08,2,4,5,245,At Risk
CUST10103,5,19,17131.91,2025-07-24,1,1,1,111,Lost Customers
CUST10104,39,29,25287.92,2025-06-20,3,5,4,354,Needs Attention
CUST10105,0,17,15460.380000000001,2025-07-29,1,1,1,111,Lost Customers
CUST10106,131,23,28357.190000000002,2025-03-20,5,3,5,535,Loyal Customers
CUST10107,30,31,29891.15,2025-06-29,3,5,5,355,Needs Attention
CUST10108,58,21,17499.82,2025-06-01,4,2,1,421,Needs Attention
CUST10109,15,20,19262.11,2025-07-14,2,2,2,222,Lost Customers
CUST10110,3,19,19104.42,2025-07-26,1,1,2,112,Lost Customers
CUST10111,24,29,26939.12,2025-07-05,3,5,4,354,Needs Attention
CUST10112,10,24,28662.05,2025-07-19,2,3,5,235,Cannot Lose Them
CUST10113,5,27,29867.71,2025-07-24,1,4,5,145,At Risk
CUST10114,104,24,23163.03,2025-04-16,5,3,3,533,Loyal Customers
CUST10115,32,18,15766.28,2025-06-27,3,1,1,311,Needs Attention
CUST10116,16,19,26530.97,2025-07-13,2,1,4,214,Cannot Lose Them
CUST10117,2,30,23458.25,2025-07-27,1,5,3,153,At Risk
CUST10118,52,19,17262.89,2025-06-07,4,1,1,411,Needs Attention
CUST10119,26,22,23284.31,2025-07-03,3,2,3,323,Needs Attention
CUST10120,62,17,24587.02,2025-05-28,4,1,4,414,Potential Loyalists
CUST10121,15,24,21757.67,2025-07-14,2,3,3,233,Needs Attention
CUST10122,36,12,12595.31,2025-06-23,3,1,1,311,Needs Attention
CUST10123,24,17,13590.87,2025-07-05,3,1,1,311,Needs Attention
CUST10124,127,30,31363.84,2025-03-24,5,5,5,555,Champions
CUST10125,56,21,20067.81,2025-06-03,4,2,2,422,Needs Attention
CUST10126,31,19,19025.72,2025-06-28,3,1,2,312,Needs Attention
CUST10127,26,25,22845.44,2025-07-03,3,4,3,343,Needs Attention
CUST10128,50,23,31648.97,2025-06-09,4,3,5,435,Loyal Customers
CUST10129,7,25,19982.36,2025-07-22,1,4,2,142,At Risk
CUST10130,68,25,23137.079999999998,2025-05-22,4,4,3,443,Loyal Customers
CUST10131,4,30,32229.5,2025-07-25,1,5,5,155,At Risk
CUST10132,42,19,15169.539999999999,2025-06-17,4,1,1,411,Needs Attention
CUST10133,8,22,17839.95,2025-07-21,1,2,1,121,Lost Customers
CUST10134,87,28,26477.91,2025-05-03,5,5,4,554,Champions
CUST10135,9,30,26564.24,2025-07-20,1,5,4,154,At Risk
CUST10136,24,37,29558.13,2025-07-05,3,5,5,355,Needs Attention
CUST10137,4,14,14635.65,2025-07-25,1,1,1,111,Lost Customers
CUST10138,61,20,23618.99,2025-05-29,4,2,3,423,Potential Loyalists
CUST10139,80,22,22869.38,2025-05-10,5,2,3,523,Potential Loyalists
CUST10140,39,18,18191.01,2025-06-20,3,1,2,312,Needs Attention
CUST10141,104,20,26893.44,2025-04-16,5,2,4,524,Potential Loyalists
CUST10142,103,21,18384.71,2025-04-17,5,2,2,522,Needs Attention
CUST10143,32,25,24155.01,2025-06-27,3,4,3,343,Needs Attention
CUST10144,2,31,28005.14,2025-07-27,1,5,5,155,At Risk
CUST10145,0,20,17762.440000000002,2025-07-29,1,2,1,121,Lost Customers
CUST10146,137,20,19410.93,2025-03-14,5,2,2,522,Needs Attention
CUST10147,82,24,21808.06,2025-05-08,5,3,3,533,Loyal Customers
CUST10148,39,34,33617.24,2025-06-20,3,5,5,355,Needs Attention
CUST10149,48,28,24635.16,2025-06-11,4,5,4,454,Champions
CUST10150,92,19,19246.11,2025-04-28,5,1,2,512,Needs Attention
CUST10151,209,25,26887.19,2025-01-01,5,4,4,544,Champions
CUST10152,2,26,29234.49,2025-07-27,1,4,5,145,At Risk
CUST10153,32,21,20399.19,2025-06-27,3,2,2,322,Needs Attention
CUST10154,271,23,20635.04,2024-10-31,5,3,2,532,Loyal Customers
CUST10155,37,19,16764.21,2025-06-22,3,1,1,311,Needs Attention
CUST10156,173,17,16016.11,2025-02-06,5,1,1,511,Needs Attention
CUST10157,1,32,23516.38,2025-07-28,1,5,3,153,At Risk
CUST10158,6,24,29484.010000000002,2025-07-23,1,3,5,135,Cannot Lose Them
CUST10159,170,20,21495.83,2025-02-09,5,2,3,523,Potential Loyalists
CUST10160,69,28,33240.71,2025-05-21,4,5,5,455,Champions
CUST10161,295,26,28065.93,2024-10-07,5,4,5,545,Champions
CUST10162,41,15,16671.719999999998,2025-06-18,3,1,1,311,Needs Attention
CUST10163,12,27,25634.43,2025-07-17,2,4,4,244,At Risk
CUST10164,8,21,26321.66,2025-07-21,1,2,4,124,Cannot Lose Them
CUST10165,10,26,19192.62,2025-07-19,2,4,2,242,At Risk
CUST10166,17,20,20249.47,2025-07-12,2,2,2,222,Lost Customers
CUST10167,24,18,15608.84,2025-07-05,3,1,1,311,Needs Attention
CUST10168,49,13,11735.21,2025-06-10,4,1,1,411,Needs Attention
CUST10169,74,23,19834.11,2025-05-16,4,3,2,432,Loyal Customers
CUST10170,58,23,18648.32,2025-06-01,4,3,2,432,Loyal Customers
CUST10171,69,25,26021.7,2025-05-21,4,4,4,444,Champions
CUST10172,31,26,33993.03,2025-06-28,3,4,5,345,Needs Attention
CUST10173,10,19,22324.73,2025-07-19,2,1,3,213,Needs Attention
CUST10174,0,29,29017.0,2025-07-29,1,5,5,155,At Risk
CUST10175,168,20,20311.489999999998,2025-02-11,5,2,2,522,Needs Attention
CUST10176,62,29,32829.85,2025-05-28,4,5,5,455,Champions
CUST10177,2,22,22238.59,2025-07-27,1,2,3,123,Needs Attention
CUST10178,48,31,27393.78,2025-06-11,4,5,4,454,Champions
CUST10179,41,32,36781.37,2025-06-18,3,5,5,355,Needs Attention
CUST10180,9,34,33987.78,2025-07-20,1,5,5,155,At Risk
CUST10181,83,22,27047.95,2025-05-07,5,2,4,524,Potential Loyalists
CUST10182,7,32,34487.06,2025-07-22,1,5,5,155,At Risk
CUST10183,1,26,27556.79,2025-07-28,1,4,4,144,At Risk
CUST10184,73,25,30228.38,2025-05-17,4,4,5,445,Champions
CUST10185,8,23,19254.170000000002,2025-07-21,1,3,2,132,Needs Attention
CUST10186,26,22,25731.73,2025-07-03,3,2,4,324,Needs Attention
CUST10187,13,30,37627.78,2025-07-16,2,5,5,255,At Risk
CUST10188,0,24,22906.420000000002,2025-07-29,1,3,3,133,Needs Attention
CUST10189,74,18,17311.5,2025-05-16,4,1,1,411,Needs Attention
CUST10190,132,26,21310.69,2025-03-19,5,4,2,542,Loyal Customers
CUST10191,11,20,19792.84,2025-07-18,2,2,2,222,Lost Customers
CUST10192,59,24,26193.06,2025-05-31,4,3,4,434,Loyal Customers
CUST10193,93,24,26881.66,2025-04-27,5,3,4,534,Loyal Customers
CUST10194,15,26,23410.05,2025-07-14,2,4,3,243,At Risk
CUST10195,9,30,28863.54,2025-07-20,1,5,5,155,At Risk
CUST10196,5,35,37738.94,2025-07-24,1,5,5,155,At Risk
CUST10197,6,26,26897.07,2025-07-23,1,4,4,144,At Risk
CUST10198,16,15,10974.66,2025-07-13,2,1,1,211,Lost Customers
CUST10199,42,26,28694.82,2025-06-17,4,4,5,445,Champions
CUST10200,6,24,22765.35,2025-07-23,1,3,3,133,Needs Attention
CUST10201,8,37,32752.44,2025-07-21,1,5,5,155,At Risk
CUST10202,20,17,15720.880000000001,2025-07-09,2,1,1,211,Lost Customers
CUST10203,138,28,28432.829999999998,2025-03-13,5,5,5,555,Champions
CUST10204,6,23,25724.35,2025-07-23,1,3,4,134,Cannot Lose Them
CUST10205,54,24,26565.7,2025-06-05,4,3,4,434,Loyal Customers
CUST10206,58,27,26817.06,2025-06-01,4,4,4,444,Champions
CUST10207,10,26,28952.6,2025-07-19,2,4,5,245,At Risk
CUST10208,7,16,17657.55,2025-07-22,1,1,1,111,Lost Customers
CUST10209,29,19,16856.76,2025-06-30,3,2,1,321,Needs Attention
CUST10210,175,27,18133.04,2025-02-04,5,4,1,541,Loyal Customers
CUST10211,54,32,25814.05,2025-06-05,4,5,4,454,Champions
CUST10212,17,22,17665.76,2025-07-12,2,2,1,221,Lost Customers
CUST10213,28,26,28117.87,2025-07-01,3,4,5,345,Needs Attention
CUST10214,37,26,29119.829999999998,2025-06-22,3,4,5,345,Needs Attention
CUST10215,28,24,25493.96,2025-07-01,3,3,4,334,Needs Attention
CUST10216,121,24,20627.49,2025-03-30,5,3,2,532,Loyal Customers
CUST10217,4,26,27910.2,2025-07-25,1,4,5,145,At Risk
CUST10218,19,23,23642.45,2025-07-10,2,3,3,233,Needs Attention
CUST10219,75,17,21800.85,2025-05-15,4,1,3,413,Potential Loyalists
CUST10220,2,38,30040.29,2025-07-27,1,5,5,155,At Risk
CUST10221,99,33,28872.22,2025-04-21,5,5,5,555,Champions
CUST10222,118,21,20515.54,2025-04-02,5,2,2,522,Needs Attention
CUST10223,34,25,26611.329999999998,2025-06-25,3,4,4,344,Needs Attention
CUST10224,254,17,19854.87,2024-11-17,5,1,2,512,Needs Attention
CUST10225,2,20,18310.12,2025-07-27,1,2,2,122,Lost Customers
CUST10226,114,24,22484.42,2025-04-06,5,3,3,533,Loyal Customers
CUST10227,3,25,26177.49,2025-07-26,1,4,4,144,At Risk
CUST10228,17,18,18761.56,2025-07-12,2,1,2,212,Lost Customers
CUST10229,108,28,25941.54,2025-04-12,5,5,4,554,Champions
CUST10230,96,26,26053.58,2025-04-24,5,4,4,544,Champions
CUST10231,32,26,30189.899999999998,2025-06-27,3,4,5,345,Needs Attention
CUST10232,71,20,18169.69,2025-05-19,4,2,2,422,Needs Attention
CUST10233,77,29,21753.15,2025-05-13,5,5,3,553,Loyal Customers
CUST10234,19,29,25985.53,2025-07-10,2,5,4,254,At Risk
CUST10235,61,15,18960.97,2025-05-29,4,1,2,412,Needs Attention
CUST10236,32,25,25533.07,2025-06-27,3,4,4,344,Needs Attention
CUST10237,3,26,23003.62,2025-07-26,1,4,3,143,At Risk
CUST10238,24,23,18026.81,2025-07-05,3,3,1,331,Needs Attention
CUST10239,40,25,24657.649999999998,2025-06-19,3,4,4,344,Needs Attention
CUST10240,29,26,31716.04,2025-06-30,3,4,5,345,Needs Attention
CUST10241,0,24,23078.56,2025-07-29,1,3,3,133,Needs Attention
CUST10242,14,22,22193.59,2025-07-15,2,2,3,223,Needs Attention
CUST10243,234,22,20192.31,2024-12-07,5,2,2,522,Needs Attention
CUST10244,5,25,25126.35,2025-07-24,1,4,4,144,At Risk
CUST10245,75,25,24918.34,2025-05-15,4,4,4,444,Champions
CUST10246,28,17,18971.760000000002,2025-07-01,3,1,2,312,Needs Attention
CUST10247,10,21,20336.21,2025-07-19,2,2,2,222,Lost Customers
CUST10248,55,29,28416.74,2025-06-04,4,5,5,455,Champions
CUST10249,9,34,36299.340000000004,2025-07-20,1,5,5,155,At Risk
CUST10250,54,16,18388.43,2025-06-05,4,1,2,412,Needs Attention
CUST10251,33,26,24794.8,2025-06-26,3,4,4,344,Needs Attention
CUST10252,92,23,20494.03,2025-04-28,5,3,2,532,Loyal Customers
CUST10253,74,21,18394.41,2025-05-16,4,2,2,422,Needs Attention
CUST10254,8,22,19834.68,2025-07-21,1,2,2,122,Lost Customers
CUST10255,66,17,15826.8,2025-05-24,4,1,1,411,Needs Attention
CUST10256,107,20,15676.9,2025-04-13,5,2,1,521,Needs Attention
CUST10257,18,27,25727.93,2025-07-11,2,4,4,244,At Risk
CUST10258,0,28,27262.46,2025-07-29,1,5,4,154,At Risk
CUST10259,6,26,29175.21,2025-07-23,1,4,5,145,At Risk
CUST10260,12,21,25294.31,2025-07-17,2,2,4,224,Cannot Lose Them
CUST10261,170,13,14372.08,2025-02-09,5,1,1,511,Needs Attention
CUST10262,36,23,17247.75,2025-06-23,3,3,1,331,Needs Attention
CUST10263,25,30,31098.39,2025-07-04,3,5,5,355,Needs Attention
CUST10264,18,25,21797.739999999998,2025-07-11,2,4,3,243,At Risk
CUST10265,14,26,31026.35,2025-07-15,2,4,5,245,At Risk
CUST10266,10,12,15172.89,2025-07-19,2,1,1,211,Lost Customers
CUST10267,125,24,22989.25,2025-03-26,5,3,3,533,Loyal Customers
CUST10268,75,26,24084.600000000002,2025-05-15,4,4,3,443,Loyal Customers
CUST10269,28,28,27376.14,2025-07-01,3,5,4,354,Needs Attention
CUST10270,57,25,23137.39,2025-06-02,4,4,3,443,Loyal Customers
CUST10271,110,23,19122.53,2025-04-10,5,3,2,532,Loyal Customers
CUST10272,69,17,18281.28,2025-05-21,4,1,2,412,Needs Attention
CUST10273,135,25,20051.489999999998,2025-03-16,5,4,2,542,Loyal Customers
CUST10274,83,24,26545.71,2025-05-07,5,3,4,534,Loyal Customers
CUST10275,21,23,25884.08,2025-07-08,2,3,4,234,Cannot Lose Them
CUST10276,13,17,16685.07,2025-07-16,2,1,1,211,Lost Customers
CUST10277,23,15,15207.33,2025-07-06,2,1,1,211,Lost Customers
CUST10278,17,10,9333.33,2025-07-12,2,1,1,211,Lost Customers
CUST10279,32,25,22648.98,2025-06-27,3,4,3,343,Needs Attention
CUST10280,19,13,17175.13,2025-07-10,2,1,1,211,Lost Customers
CUST10281,40,15,15444.86,2025-06-19,3,1,1,311,Needs Attention
CUST10282,9,23,24158.98,2025-07-20,1,3,3,133,Needs Attention
CUST10283,77,15,17883.73,2025-05-13,5,1,1,511,Needs Attention
CUST10284,93,25,25132.89,2025-04-27,5,4,4,544,Champions
CUST10285,11,25,30398.510000000002,2025-07-18,2,4,5,245,At Risk
CUST10286,8,24,20066.02,2025-07-21,1,3,2,132,Needs Attention
CUST10287,29,28,29505.89,2025-06-30,3,5,5,355,Needs Attention
CUST10288,40,22,19385.53,2025-06-19,3,2,2,322,Needs Attention
CUST10289,33,21,18164.57,2025-06-26,3,2,2,322,Needs Attention
CUST10290,7,33,32842.08,2025-07-22,1,5,5,155,At Risk
CUST10291,42,18,20962.68,2025-06-17,4,1,2,412,Needs Attention
CUST10292,71,23,25271.47,2025-05-19,4,3,4,434,Loyal Customers
CUST10293,10,18,16185.49,2025-07-19,2,1,1,211,Lost Customers
CUST10294,75,17,14302.2,2025-05-15,4,1,1,411,Needs Attention
CUST10295,31,23,20208.21,2025-06-28,3,3,2,332,Needs Attention
CUST10296,124,19,17165.6,2025-03-27,5,2,1,521,Needs Attention
CUST10297,35,18,14440.26,2025-06-24,3,1,1,311,Needs Attention
CUST10298,8,29,26857.73,2025-07-21,1,5,4,154,At Risk
CUST10299,90,20,23217.47,2025-04-30,5,2,3,523,Potential Loyalists
CUST10300,182,22,18116.19,2025-01-28,5,2,1,521,Needs Attention
CUST10301,28,25,30995.96,2025-07-01,3,4,5,345,Needs Attention
CUST10302,67,20,19644.81,2025-05-23,4,2,2,422,Needs Attention
CUST10303,20,15,16470.4,2025-07-09,2,1,1,211,Lost Customers
CUST10304,1,20,18496.13,2025-07-28,1,2,2,122,Lost Customers
CUST10305,0,22,20016.68,2025-07-29,1,2,2,122,Lost Customers
CUST10306,9,17,14432.630000000001,2025-07-20,1,1,1,111,Lost Customers
CUST10307,49,32,31478.9,2025-06-10,4,5,5,455,Champions
CUST10308,7,24,26316.02,2025-07-22,1,3,4,134,Cannot Lose Them
CUST10309,3,24,23864.97,2025-07-26,1,3,3,133,Needs Attention
CUST10310,39,16,14499.86,2025-06-20,3,1,1,311,Needs Attention
CUST10311,44,25,25459.65,2025-06-15,4,4,4,444,Champions
CUST10312,20,28,35451.32,2025-07-09,2,5,5,255,At Risk
CUST10313,7,21,23931.46,2025-07-22,1,2,3,123,Needs Attention
CUST10314,53,15,18672.7,2025-06-06,4,1,2,412,Needs Attention
CUST10315,3,17,15115.08,2025-07-26,1,1,1,111,Lost Customers
CUST10316,7,22,18596.31,2025-07-22,1,2,2,122,Lost Customers
CUST10317,107,16,16497.14,2025-04-13,5,1,1,511,Needs Attention
CUST10318,35,29,27981.69,2025-06-24,3,5,5,355,Needs Attention
CUST10319,151,21,21905.18,2025-02-28,5,2,3,523,Potential Loyalists
CUST10320,1,29,31877.22,2025-07-28,1,5,5,155,At Risk
CUST10321,125,22,22256.43,2025-03-26,5,2,3,523,Potential Loyalists
CUST10322,32,17,18342.27,2025-06-27,3,1,2,312,Needs Attention
CUST10323,33,25,25091.57,2025-06-26,3,4,4,344,Needs Attention
CUST10324,247,22,15207.19,2024-11-24,5,2,1,521,Needs Attention
CUST10325,5,25,25205.83,2025-07-24,1,4,4,144,At Risk
CUST10326,22,25,29754.95,2025-07-07,2,4,5,245,At Risk
CUST10327,38,23,20183.579999999998,2025-06-21,3,3,2,332,Needs Attention
CUST10328,37,22,18712.44,2025-06-22,3,2,2,322,Needs Attention
CUST10329,6,31,29564.45,2025-07-23,1,5,5,155,At Risk
CUST10330,97,23,18284.309999999998,2025-04-23,5,3,2,532,Loyal Customers
CUST10331,38,29,26956.12,2025-06-21,3,5,4,354,Needs Attention
CUST10332,102,24,19041.32,2025-04-18,5,3,2,532,Loyal Customers
CUST10333,47,17,16183.95,2025-06-12,4,1,1,411,Needs Attention
CUST10334,6,21,24120.74,2025-07-23,1,2,3,123,Needs Attention
CUST10335,150,23,22535.25,2025-03-01,5,3,3,533,Loyal Customers
CUST10336,46,25,23750.21,2025-06-13,4,4,3,443,Loyal Customers
CUST10337,33,17,13154.14,2025-06-26,3,1,1,311,Needs Attention
CUST10338,19,24,27838.98,2025-07-10,2,3,5,235,Cannot Lose Them
CUST10339,30,28,28088.33,2025-06-29,3,5,5,355,Needs Attention
CUST10340,68,18,18865.08,2025-05-22,4,1,2,412,Needs Attention
CUST10341,51,26,26182.71,2025-06-08,4,4,4,444,Champions
CUST10342,29,24,29582.62,2025-06-30,3,3,5,335,Needs Attention
CUST10343,40,14,11823.91,2025-06-19,3,1,1,311,Needs Attention
CUST10344,47,23,27523.82,2025-06-12,4,3,4,434,Loyal Customers
CUST10345,7,28,28009.44,2025-07-22,1,5,5,155,At Risk
CUST10346,27,15,16081.25,2025-07-02,3,1,1,311,Needs Attention
CUST10347,2,27,27264.44,2025-07-27,1,4,4,144,At Risk
CUST10348,5,23,21882.21,2025-07-24,1,3,3,133,Needs Attention
CUST10349,186,17,19554.46,2025-01-24,5,1,2,512,Needs Attention
CUST10350,2,13,12931.73,2025-07-27,1,1,1,111,Lost Customers
CUST10351,27,25,24787.75,2025-07-02,3,4,4,344,Needs Attention
CUST10352,95,31,32522.82,2025-04-25,5,5,5,555,Champions
CUST10353,52,23,31410.55,2025-06-07,4,3,5,435,Loyal Customers
CUST10354,32,23,24639.65,2025-06-27,3,3,4,334,Needs Attention
CUST10355,76,28,26167.15,2025-05-14,4,5,4,454,Champions
CUST10356,13,22,18417.12,2025-07-16,2,2,2,222,Lost Customers
CUST10357,44,25,26103.07,2025-06-15,4,4,4,444,Champions
CUST10358,49,25,24876.32,2025-06-10,4,4,4,444,Champions
CUST10359,19,20,17738.94,2025-07-10,2,2,1,221,Lost Customers
CUST10360,34,23,23409.420000000002,2025-06-25,3,3,3,333,Needs Attention
CUST10361,94,28,28268.23,2025-04-26,5,5,5,555,Champions
CUST10362,47,22,26819.54,2025-06-12,4,2,4,424,Potential Loyalists
CUST10363,43,16,17746.75,2025-06-16,4,1,1,411,Needs Attention
CUST10364,7,21,18791.39,2025-07-22,1,2,2,122,Lost Customers
CUST10365,5,26,28124.5,2025-07-24,1,4,5,145,At Risk
CUST10366,35,27,20667.09,2025-06-24,3,4,2,342,Needs Attention
CUST10367,70,22,29118.91,2025-05-20,4,2,5,425,Potential Loyalists
CUST10368,54,24,24060.63,2025-06-05,4,3,3,433,Loyal Customers
CUST10369,70,22,20250.28,2025-05-20,4,2,2,422,Needs Attention
CUST10370,9,26,20439.829999999998,2025-07-20,1,4,2,142,At Risk
CUST10371,5,28,23626.18,2025-07-24,1,5,3,153,At Risk
CUST10372,124,23,23762.14,2025-03-27,5,3,3,533,Loyal Customers
CUST10373,65,33,35231.82,2025-05-25,4,5,5,455,Champions
CUST10374,22,20,24714.77,2025-07-07,2,2,4,224,Cannot Lose Them
